ID,DATE,TO,FROM,REASON,SERVER,CHANNEL,QUANT_1,QUANT_1_ID,QUANT_1_DUPLICATE_ID,QUANT_1_DISMISSED,QUANT_2,QUANT_2_ID,QUANT_2_DUPLICATE_ID,QUANT_2_DISMISSED,QUANT_3,QUANT_3_ID,QUANT_3_DUPLICATE_ID,QUANT_3_DISMISSED,AVG QUANT,CORRECTION ADD,CORRECTION SUB,CORRECTION COMMENT,FINAL QUANT
1001,01/01/2021-00:00:00,bot41#1000,bot34#1000,mock reason text,mock server,mock channel,21,0x0000000000000003c2b3fe34fd8238,,,21,0x000000000000001ca661c0a9a5b84c,,,55,0x00000000000000446e176b5f187eac,,,32,,,,32
1002,01/01/2021-00:00:00,bot1#1000,bot49#1000,mock reason text,mock server,mock channel,55,0x00000000000000446e176b5f187eac,,,55,0x000000000000001c17bb7fb68ec8bc,,,21,0x000000000000002f8bf109c90bf922,,,43,,,,43
1003,01/01/2021-00:00:00,bot6#1000,bot27#1000,mock reason text,mock server,mock channel,144,0x00000000000000956b7baf06948d80,,,144,0x000000000000009a5ae55387dcd44f,,,0,0x00000000000000b3bcae77409a744f,,,96,,,,96
1004,01/01/2021-00:00:00,bot22#1000,bot0#1000,mock reason text,mock server,mock channel,0,0x00000000000000956b7baf06948d80,,TRUE,55,0x000000000000009a5ae55387dcd44f,,,55,0x00000000000000b3bcae77409a744f,,,43,,,,0
1005,01/01/2021-00:00:00,bot24#1000,bot41#1000,mock reason text,mock server,mock channel,144,0x000000000000001ca661c0a9a5b84c,,,144,0x00000000000000446e176b5f187eac,,,144,0x000000000000001c17bb7fb68ec8bc,,,144,,,,144
1006,01/01/2021-00:00:00,bot6#1000,bot47#1000,mock reason text,mock server,mock channel,0,0x000000000000009a5ae55387dcd44f,,,13,0x00000000000000b3bcae77409a744f,,,144,0x00000000000000c2b4c2ddfb14e64f,,,52,,,,52
1007,01/01/2021-00:00:00,bot42#1000,bot19#1000,mock reason text,mock server,mock channel,144,0x0000000000000003c2b3fe34fd8238,,,0,0x000000000000001ca661c0a9a5b84c,,,21,0x00000000000000446e176b5f187eac,,,55,,,,55
1008,01/01/2021-00:00:00,bot35#1000,bot6#1000,mock reason text,mock server,mock channel,21,0x00000000000000b29346541e142830,,,13,0x00000000000000956b7baf06948d80,,,21,0x000000000000009a5ae55387dcd44f,,,18,,,,18
1009,01/01/2021-00:00:00,bot20#1000,bot8#1000,mock reason text,mock server,mock channel,13,0x0000000000000003c2b3fe34fd8238,,,55,0x000000000000001ca661c0a9a5b84c,,,13,0x00000000000000446e176b5f187eac,,,27,,,,27
1010,01/01/2021-00:00:00,bot46#1000,bot12#1000,mock reason text,mock server,mock channel,0,0x00000000000000446e176b5f187eac,,,21,0x000000000000001c17bb7fb68ec8bc,,,0,0x000000000000002f8bf109c90bf922,,,7,,,,7
