ID,DATE,TO,FROM,REASON,SERVER,CHANNEL,QUANT_1,QUANT_1_ID,QUANT_1_DUPLICATE_ID,QUANT_1_DISMISSED,QUANT_2,QUANT_2_ID,QUANT_2_DUPLICATE_ID,QUANT_2_DISMISSED,QUANT_3,QUANT_3_ID,QUANT_3_DUPLICATE_ID,QUANT_3_DISMISSED,AVG QUANT,CORRECTION ADD,CORRECTION SUB,CORRECTION COMMENT,FINAL QUANT
1001,01/01/2021-00:00:00,0x8dd6c79db4467f557a7135beb2c599c6846ea590,0xbec9ca924927cb87a38f332493ea343c8a32a41f,mock reason text,mock server,mock channel,55,0xee81a01acd8a84d4261ee7b9dca53122a0972144,,,0,0x1dfaf006ac01eeff60f3dac4b9947f36538d37c0,,,144,0x8dd6c79db4467f557a7135beb2c599c6846ea590,,,66,,,,66
1002,01/01/2021-00:00:00,0xafec48254abf4496c1df1089dbf7a9024b98d64a,0x645c1ad1787a29199d6e0caccca8626498231650,mock reason text,mock server,mock channel,55,0xf905660d67df234d0ba79af95ceaef07fff48fe0,,,144,0x86f951adb15bb4a3371f03692c468fcf7104b8d3,,,55,0xe90eb9f5d781a8f351bf3fc6ead5387bed55c00e,,,84,,,,84
1003,01/01/2021-00:00:00,0xd2b94759ac8ca709f88256bee02d1016a791e784,0x461fe4db91419925dc2a8948ec2ec2dcee7488d5,mock reason text,mock server,mock channel,0,0x82da8d997be894b6ec93f447152d276fe746084c,,,144,0xae30cb4d07916e25ddc6b3fe385a7980112d41d7,,,144,0x30d6feaf5cc6aa7dc2a33a993303e54ae193ffd0,,,96,,,,96
1004,01/01/2021-00:00:00,0x3cfee0927eab897c0ed9e93ab5a43eaa4fbce5a0,0x4bb3b9e33ad8c9c69d16c17c0ed7f127963a8efe,mock reason text,mock server,mock channel,55,0x86f951adb15bb4a3371f03692c468fcf7104b8d3,,,21,0xe90eb9f5d781a8f351bf3fc6ead5387bed55c00e,,,0,0x82da8d997be894b6ec93f447152d276fe746084c,,,25,,,,25
1005,01/01/2021-00:00:00,0xde3ce08bd359a0fdf595167ad62b0c1296e67c03,0xf17990e80c104a2c279b2aea826b10f3965d2189,mock reason text,mock server,mock channel,144,0x5da27138c751e76e1af4ab8963c7926f5b4275f4,,,144,0xee81a01acd8a84d4261ee7b9dca53122a0972144,,,0,0x1dfaf006ac01eeff60f3dac4b9947f36538d37c0,,,96,,,,96
1006,01/01/2021-00:00:00,0x9cdf742cc16f2289f2578f31cb03366dd3dd2dc6,0x262a646f304e5cd38c9ae83df6c7968a79c07407,mock reason text,mock server,mock channel,13,0x1dfaf006ac01eeff60f3dac4b9947f36538d37c0,,,13,0x8dd6c79db4467f557a7135beb2c599c6846ea590,,,13,0xf905660d67df234d0ba79af95ceaef07fff48fe0,,,13,,,,13
1007,01/01/2021-00:00:00,0x31725fe228ab48d0d925dc881c45a169839ca702,0x18206c5b5c1f0716df08f4e253364813533a41e4,mock reason text,mock server,mock channel,13,0xae30cb4d07916e25ddc6b3fe385a7980112d41d7,,,13,0x30d6feaf5cc6aa7dc2a33a993303e54ae193ffd0,,,21,0x5da27138c751e76e1af4ab8963c7926f5b4275f4,,,15,,,,15
1008,01/01/2021-00:00:00,0x137abf646d0d7a1f8f35506706c43c482991f838,0x94bf1eb295028aa7ec415162866134abb977995b,mock reason text,mock server,mock channel,55,0xee81a01acd8a84d4261ee7b9dca53122a0972144,,,144,0x1dfaf006ac01eeff60f3dac4b9947f36538d37c0,,,55,0x8dd6c79db4467f557a7135beb2c599c6846ea590,,,84,,,,84
1009,01/01/2021-00:00:00,0x4bb3b9e33ad8c9c69d16c17c0ed7f127963a8efe,0xf6421ae52ae94155586396ce7fb39fdb5b668ec5,mock reason text,mock server,mock channel,144,0xe90eb9f5d781a8f351bf3fc6ead5387bed55c00e,,,144,0x82da8d997be894b6ec93f447152d276fe746084c,,,0,0xae30cb4d07916e25ddc6b3fe385a7980112d41d7,,,96,,,,96
1010,01/01/2021-00:00:00,0xa1e5891a6f6e31f1ea23d0317fcde6369172c31,0x4a9642be9ab7a9b3512a72eaccf1340f01b301ce,mock reason text,mock server,mock channel,13,0xee81a01acd8a84d4261ee7b9dca53122a0972144,,,144,0x1dfaf006ac01eeff60f3dac4b9947f36538d37c0,,,13,0x8dd6c79db4467f557a7135beb2c599c6846ea590,,,56,,,,56
1011,01/01/2021-00:00:00,0x3ed4157136c9aa76efa63fa17232aa519e71a47b,0xafcbe089126bb6d9ffc9e4d2405d6710c0cd40ad,mock reason text,mock server,mock channel,13,0x82da8d997be894b6ec93f447152d276fe746084c,,,13,0xae30cb4d07916e25ddc6b3fe385a7980112d41d7,,,13,0x30d6feaf5cc6aa7dc2a33a993303e54ae193ffd0,,,13,,,,13
1012,01/01/2021-00:00:00,0x13b1bc04e066de1af3a4e5c2325d3e9619a7fd76,0x5ba3f3599b28cec6c3376a5063b72c4eca30355b,mock reason text,mock server,mock channel,21,0x8dd6c79db4467f557a7135beb2c599c6846ea590,,,0,0xf905660d67df234d0ba79af95ceaef07fff48fe0,,,21,0x86f951adb15bb4a3371f03692c468fcf7104b8d3,,,14,,,,14
1013,01/01/2021-00:00:00,0xf905660d67df234d0ba79af95ceaef07fff48fe0,0x41b66cfb712e82648a9bd17a4dbe516f654bc46a,mock reason text,mock server,mock channel,21,0x86f951adb15bb4a3371f03692c468fcf7104b8d3,,,55,0xe90eb9f5d781a8f351bf3fc6ead5387bed55c00e,,,21,0x82da8d997be894b6ec93f447152d276fe746084c,,,32,,,,32
