IDENTITY,AMOUNT,%,TOKEN TO RECEIVE
bot0,437,1.8205299116813864,1820.5299116813865
bot1,1101,4.586735544075987,4586.735544075987
bot2,248,1.0331611398100315,1033.1611398100315
bot3,97,0.40409931678053657,404.0993167805366
bot4,217,0.9040159973337778,904.0159973337778
bot5,363,1.5122479586735542,1512.2479586735542
bot6,199,0.8290284952507915,829.0284952507915
bot7,443,1.8455257457090486,1845.5257457090486
bot8,54,0.2249625062489585,224.9625062489585
bot9,1237,5.153307782036327,5153.307782036327
bot10,294,1.2247958673554409,1224.7958673554408
bot11,149,0.6207298783536077,620.7298783536077
bot12,289,1.2039660056657222,1203.9660056657222
bot13,88,0.36660556573904346,366.60556573904347
bot14,446,1.8580236627228797,1858.0236627228796
bot15,167,0.6957173804365939,695.7173804365939
bot16,298,1.2414597567072154,1241.4597567072153
bot17,726,3.0244959173471084,3024.4959173471084
bot18,467,1.9455090818196967,1945.5090818196968
bot19,205,0.8540243292784535,854.0243292784535
bot20,401,1.670554907515414,1670.554907515414
bot21,67,0.2791201466422263,279.1201466422263
bot22,141,0.5874020996500583,587.4020996500583
bot23,426,1.7747042159640058,1774.704215964006
bot24,105,0.437427095484086,437.42709548408595
bot25,127,0.5290784869188468,529.0784869188468
bot26,357,1.4872521246458925,1487.2521246458925
bot27,161,0.6707215464089318,670.7215464089318
bot28,402,1.674720879853358,1674.720879853358
bot29,873,3.636893851024829,3636.893851024829
bot30,92,0.3832694550908182,383.2694550908182
bot31,279,1.1623062822862855,1162.3062822862855
bot32,436,1.8163639393434425,1816.3639393434426
bot33,64,0.26662222962839527,266.62222962839525
bot34,1680,6.998833527745376,6998.833527745375
bot35,342,1.4247625395767372,1424.7625395767373
bot36,172,0.7165472421263123,716.5472421263123
bot37,66,0.27495417430428265,274.9541743042827
bot38,97,0.40409931678053657,404.0993167805366
bot39,87,0.3624395934010998,362.43959340109984
bot40,142,0.591568071988002,591.568071988002
bot41,901,3.7535410764872523,3753.541076487252
bot42,124,0.5165805699050158,516.5805699050158
bot43,2119,8.827695384102649,8827.695384102648
bot44,5071,21.12564572571238,21125.64572571238
bot45,69,0.2874520913181136,287.4520913181136
bot46,1064,4.432594567572071,4432.594567572071
bot47,375,1.5622396267288785,1562.2396267288784
bot48,120,0.4999166805532411,499.9166805532411
bot49,119,0.49575070821529743,495.75070821529744
